EN,Owner,Unit name,Fuel,Fuel calorific value [kJ/kg],Installed capacity gross [MW],Commission date,Proposed decommission date,Latitude,Longitude,,,,,,,,,,,,,,,,
,Veolia,Karolin B3,Hard coal,21572,112,1998,2040,52.433861,16.981778,,,,,,,,,,,,,,,,
,Tauron,Katowice B1,Hard coal,19506,135,2000,2040,50.285,19.054,,,,,,,,,,,,,,,,
,PGE,Krakow B1,Hard coal,21988,122,1977,2035,50.054,20.007,,,,,,,,,,,,,,,,
,PGE,Krakow B2,Hard coal,21988,120,1978,2037,50.054,20.007,,,,,,,,,,,,,,,,
,PGE,Krakow B3,Hard coal,21988,102,1984,2040,50.054,20.007,,,,,,,,,,,,,,,,
,Veolia,Lodz 3 B1,Hard coal,21040,40,1969,2029,51.742,19.448,,,,,,,,,,,,,,,,
,Veolia,Lodz 3 B2,Hard coal,21040,55,1971,2030,51.742,19.448,,,,,,,,,,,,,,,,
,Veolia,Lodz 3 B3,Hard coal,21040,55,1974,2032,51.742,19.448,,,,,,,,,,,,,,,,
,Veolia,Lodz 3 B4,Hard coal,21040,55,1977,2037,51.742,19.448,,,,,,,,,,,,,,,,
,Veolia,Lodz 4 B1,Hard coal,21823,50,1992,2038,51.746,19.538,,,,,,,,,,,,,,,,
,Veolia,Lodz 4 B-2,Hard coal,21823,48,1977,2036,51.746,19.538,,,,,,,,,,,,,,,,
,Veolia,Lodz 4 B3,Hard coal,21823,100,1978,2040,51.746,19.538,,,,,,,,,,,,,,,,
,Fortum,Miechowice B1,Hard coal,23612,55,1986,2040,50.349,18.843,,,,,,,,,,,,,,,,
,Fortum,Miechowice B2,Hard coal,23612,55,1995,2040,50.349,18.843,,,,,,,,,,,,,,,,
,Fortum,Miechowice B3,Hard coal,23612,15,1998,2040,50.349,18.843,,,,,,,,,,,,,,,,
,E-Star Plc,Mielec B1,Hard coal,23612,30,1962,2028,50.304,21.461,,,,,,,,,,,,,,,,
,Energa,Ostroleka A B4,Hard coal,23612,34,1958,2025,53.104,21.612,,,,,,,,,,,,,,,,
,ORLEN,Plock,Gas,49019,600,,,52.577945,19.693559,,,,,,,,,,,,,,,,
,Enea,Polaniec B9,Biomass,11149,225,,,50.435111,21.333528,,,,,,,,,,,,,,,,
,PGE,Pomorzany A,Hard coal,25272,67.1,2022,2025,53.392,14.526,,,,,,,,,,,,,,,,
,PGE,Pomorzany B,Hard coal,25272,67.1,1962,2026,53.392,14.526,,,,,,,,,,,,,,,,
,Grupa Azoty,Pulawy,Hard coal,23612,109,1962,2040,51.416,21.969,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B1,Hard coal,22611,52,1962,2028,52.19,21.091,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B10,Hard coal,22611,105,1962,2040,52.19,21.091,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B2,Hard coal,22611,32,1962,2028,52.19,21.091,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B3,Hard coal,22611,32,1974,2027,52.19,21.091,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B5,Hard coal,22611,32,1975,2027,52.19,21.091,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B6,Hard coal,22611,31,2007,2027,52.19,21.091,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B7,Hard coal,22611,106,2008,2032,52.19,21.091,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B8,Hard coal,22611,125,,2033,52.19,21.091,,,,,,,,,,,,,,,,
,PGNiG,Siekierki B9,Hard coal,22611,105,,,52.19,21.091,,,,,,,,,,,,,,,,
,PGE,Szczecin B1 Biomass,Biomass,8408,68.5,2016,,53.411,14.586,,,,,,,,,,,,,,,,
,Tauron,Tychy B1,Biomass,10885,40,2016,,50.106,19.014,,,,,,,,,,,,,,,,
,Tauron,Tychy B2,Hard coal,19332,66,1972,2040,50.106,19.014,,,,,,,,,,,,,,,,
,Tauron,Tychy B3,Hard coal,19332,50,1984,2040,50.106,19.014,,,,,,,,,,,,,,,,
,PGE,Wroclaw B1,Hard coal,22181,56.4,1987,2031,51.124,17.024,,,,,,,,,,,,,,,,
,PGE,Wroclaw B2,Hard coal,22181,108,1998,2040,51.124,17.024,,,,,,,,,,,,,,,,
,PGE,Wroclaw B3,Hard coal,22181,108,2018,2040,51.124,17.024,,,,,,,,,,,,,,,,
,Fortum,Zabrze B1,Hard coal,24073,32.9,1966,2040,50.299,18.812,,,,,,,,,,,,,,,,
,Fortum,Zabrze II B1,Hard coal,23612,220,1954,2040,50.325,18.786,,,,,,,,,,,,,,,,
,PGNiG,Zeran B1,Hard coal,23724,386,,2021,52.294,20.994,,,,,,,,,,,,,,,,
,Spolka Energetyczna Jastrzebie,Zofiowka Moszczenica,Hard coal,25755,41,,2029,49.942,18.57,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
