EN,Owner,Unit name,TSO Unit ID,Fuel,Fuel calorific value [kJ/kg],Emissivity [kgCO2/MWh],Transport distance [km],Installed capacity gross [MW],Net efficiency [%],Commissioning date,Last major renovation,Capacity factor 2019 [%],SRMC 2020 [PLN/MWh],IED decomission date,Announced decomission date,Capacity contract end date,Last year before going into reserve,Proposed decommission date,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
,PGE,Dolna Odra B5,DOD 2-05,Hard coal,23400,977,540,222,34%,1975,,33%,299.29,2035,,,2021,2021,53.206,14.466,,,,,,,,,,,,,,,,,,,,
,PGE,Dolna Odra B6,DOD 4-06,Hard coal,23400,977,540,222,34%,1976,,26%,299.29,2035,,,2021,2021,53.206,14.466,,,,,,,,,,,,,,,,,,,,
,PGE,Dolna Odra B7,DOD 4-07,Hard coal,23400,977,540,227,34%,1976,,34%,299.29,2035,,,2021,2021,53.206,14.466,,,,,,,,,,,,,,,,,,,,
,PGE,Dolna Odra B8,DOD 4-08,Hard coal,23400,977,540,232,34%,1977,,31%,299.29,2035,,,2022,2022,53.206,14.466,,,,,,,,,,,,,,,,,,,,
Total,PGE,,,Hard coal,23400,977,540,1347,34%,,,21%,299.29,,,,,,53.206,14.466,,,,,,,,,,,,,,,,,,,,
,Tauron,Jaworzno 2 JWCD B7,JW2 4-07,Hard coal,20474,676,70,900,46%,2020,,,218.75,,,2035,2035,2040,50.208,19.21,,,,,,,,,,,,,,,,,,,,
,Tauron,Jaworzno 3 B1,JW3 2-01,Hard coal,20474,915,70,225,34%,1977,,33%,290.94,2030,,2025,2025,2030,50.208,19.21,,,,,,,,,,,,,,,,,,,,
,Tauron,Jaworzno 3 B2,JW3 2-02,Hard coal,20474,915,70,225,34%,1977,,28%,290.94,2030,,,2023,2023,50.208,19.21,,,,,,,,,,,,,,,,,,,,
,Tauron,Jaworzno 3 B3,JW3 1-03,Hard coal,20474,915,70,225,34%,1977,,27%,290.94,2030,,2025,2025,2030,50.208,19.21,,,,,,,,,,,,,,,,,,,,
,Tauron,Jaworzno 3 B4,JW3 2-04,Hard coal,20474,915,70,225,34%,1977,,23%,290.94,2030,,,2023,2023,50.208,19.21,,,,,,,,,,,,,,,,,,,,
,Tauron,Jaworzno 3 B5,JW3 2-05,Hard coal,20474,915,70,225,34%,1978,,34%,290.94,2030,,2025,2025,2030,50.208,19.21,,,,,,,,,,,,,,,,,,,,
,Tauron,Jaworzno 3 B6,JW3 2-06,Hard coal,20474,915,70,225,34%,1978,,35%,290.94,2030,,,2023,2023,50.208,19.21,,,,,,,,,,,,,,,,,,,,
Total,Tauron,,,Hard coal,20474,819,70,2250,39%,,,18%,262,,,,,,50.208,19.21,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B1,KOZ12-01,Hard coal,21701,872,130,228,37%,1972,2015,59%,262.83,2032,,,2023,2023,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B10,KOZ24-10,Hard coal,21701,872,130,560,37%,1979,2018,44%,262.83,,,2025,2027,2037,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B11,KOZ24-11,Hard coal,21701,692,130,1075,46%,2017,,58%,211.49,,,2035,2035,2040,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B2,KOZ11-02,Hard coal,21701,872,130,228,37%,1973,2015,30%,262.83,2032,,,2023,2023,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B3,KOZ12-03,Hard coal,21701,872,130,225,37%,1973,2012,54%,262.83,2032,,2025,2025,2032,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B4,KOZ12-04,Hard coal,21701,872,130,228,37%,1973,2016,58%,262.83,2032,,2025,2026,2032,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B5,KOZ12-05,Hard coal,21701,872,130,228,37%,1973,2016,60%,262.83,2032,,2025,2026,2032,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B6,KOZ11-06,Hard coal,21701,872,130,228,37%,1974,2018,63%,262.83,2032,,2025,2027,2032,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B7,KOZ12-07,Hard coal,21701,872,130,228,37%,1974,2014,40%,262.83,2032,,2025,2026,2032,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B8,KOZ12-08,Hard coal,21701,872,130,228,37%,1975,2017,53%,262.83,2032,,2025,2027,2032,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Enea,Kozienice B9,KOZ24-09,Hard coal,21701,872,130,560,37%,1978,2013,20%,262.83,,,2025,2025,2035,51.665,21.467,,,,,,,,,,,,,,,,,,,,
Total,Enea,,,Hard coal,21701,824,130,4016,39%,,,48%,249,,,,,,51.665,21.467,,,,,,,,,,,,,,,,,,,,
,Tauron,Lagisza B10,LGA 4-10,Hard coal,20912,756,50,460,42%,2009,,32%,237.39,2030,,2025,2035,2040,50.349,19.145,,,,,,,,,,,,,,,,,,,,
,Tauron,Lagisza B6,LGA 2-06,Hard coal,20912,980,50,120,32%,1970,,0%,303.64,2021,2021,,2021,2021,50.349,19.145,,,,,,,,,,,,,,,,,,,,
,Tauron,Lagisza B7,LGA 2-07,Hard coal,20912,980,50,120,32%,1970,,0%,303.64,2021,2021,,2021,2021,50.349,19.145,,,,,,,,,,,,,,,,,,,,
,Tauron,Laziska B1,LZA21-01,Hard coal,21058,983,50,125,32%,1967,,0%,302.75,2021,2021,,2021,2021,50.134,18.847,,,,,,,,,,,,,,,,,,,,
,Tauron,Laziska B10,LZA31-10,Hard coal,21058,899,100,225,35%,1971,,43%,278.02,2030,,2028,2028,2030,50.134,18.847,,,,,,,,,,,,,,,,,,,,
,Tauron,Laziska B11,LZA32-11,Hard coal,21058,899,100,225,35%,1982,,42%,278.02,2030,,2028,2028,2030,50.134,18.847,,,,,,,,,,,,,,,,,,,,
,Tauron,Laziska B12,LZA32-12,Hard coal,21058,899,100,225,35%,1972,,25%,278.02,2030,,,2023,2023,50.134,18.847,,,,,,,,,,,,,,,,,,,,
,Tauron,Laziska B2,LZA21-02,Hard coal,21058,983,100,125,32%,1967,,0%,302.75,2021,2021,,2021,2021,50.134,18.847,,,,,,,,,,,,,,,,,,,,
,Tauron,Laziska B9,LZA31-09,Hard coal,21058,899,100,230,35%,1970,,41%,278.02,2030,,2025,2025,2030,50.134,18.847,,,,,,,,,,,,,,,,,,,,
Total,Tauron,,,Hard coal,21058,885,78,1855,36%,,,26%,275,,,,,,50.134,18.847,,,,,,,,,,,,,,,,,,,,
,PGE,Opole B1,OPL 1-01,Hard coal,21988,872,150,386,37%,1993,,22%,268.30,,,,2023,2023,50.752,17.882,,,,,,,,,,,,,,,,,,,,
,PGE,Opole B2,OPL 1-02,Hard coal,21988,872,150,383,37%,1994,,39%,268.30,,,,2023,2023,50.752,17.882,,,,,,,,,,,,,,,,,,,,
,PGE,Opole B3,OPL 4-03,Hard coal,21988,872,150,383,37%,1996,,40%,268.30,,,2028,2028,2038,50.752,17.882,,,,,,,,,,,,,,,,,,,,
,PGE,Opole B4,OPL 4-04,Hard coal,21988,872,150,380,37%,1997,,42%,268.30,,,2028,2028,2038,50.752,17.882,,,,,,,,,,,,,,,,,,,,
,PGE,Opole B5,OPL 4-05,Hard coal,21988,696,150,900,46%,2019,,41%,216.93,,,2035,2035,2040,50.752,17.882,,,,,,,,,,,,,,,,,,,,
,PGE,Opole B6,OPL 4-06,Hard coal,21988,696,150,900,46%,2019,,25%,216.93,,,2035,2035,2040,50.752,17.882,,,,,,,,,,,,,,,,,,,,
Total,PGE,,,Hard coal,21988,777,150,3332,42%,,,34%,241,,,,,,50.752,17.882,,,,,,,,,,,,,,,,,,,,
,Energa,Ostroleka B B1,OSB 2-01,Hard coal,21867,840,350,221,38%,1972,,28%,278.01,,,2025,2025,2035,53.104,21.612,,,,,,,,,,,,,,,,,,,,
,Energa,Ostroleka B B2,OSB 2-02,Hard coal,21867,840,350,230,38%,1972,2016,31%,278.01,,,2025,2028,2038,53.104,21.612,,,,,,,,,,,,,,,,,,,,
,Energa,Ostroleka B B3,OSB 1-03,Hard coal,21867,840,350,230,38%,1972,2017,45%,278.01,,,2025,2028,2038,53.104,21.612,,,,,,,,,,,,,,,,,,,,
Total,Energa,,,Hard coal,21867,840,350,681,38%,,,35%,278,,,,,,53.104,21.612,,,,,,,,,,,,,,,,,,,,
,ZEPAK,Patnow I B1,PAT11-01,Lignite,8448,1251,0,222,31%,1967,2016,61%,288.58,,2024,2023,2024,2024,52.306,18.232,,,,,,,,,,,,,,,,,,,,
,ZEPAK,Patnow I B2,PAT12-02,Lignite,8448,1251,0,222,31%,1967,2016,60%,288.58,,2024,2023,2024,2024,52.306,18.232,,,,,,,,,,,,,,,,,,,,
,ZEPAK,Patnow I B3,PAT11-03,Lignite,8448,1251,0,200,31%,1968,,0%,288.58,,2021,,2021,2021,52.306,18.232,,,,,,,,,,,,,,,,,,,,
,ZEPAK,Patnow I B4,PAT12-04,Lignite,8448,1251,0,200,31%,1968,,2%,288.58,,2021,,2021,2021,52.306,18.232,,,,,,,,,,,,,,,,,,,,
,ZEPAK,Patnow I B5,PAT12-05,Lignite,8448,1251,0,200,31%,1969,,36%,288.58,,2023,,2023,2023,52.306,18.232,,,,,,,,,,,,,,,,,,,,
,ZEPAK,Patnow I B6,PAT12-06,Lignite,8448,1251,0,200,31%,1969,,24%,288.58,2021,2021,,2021,2021,52.306,18.232,,,,,,,,,,,,,,,,,,,,
